Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
sera,Papua New Guinea,severely endangered,432,3.0,432,True,
seri,Mexico,vulnerable,518,1.0,518,True,
serili,Indonesia,vulnerable,328,1.0,328,True,
serrano,United States of America,extinct,0,5.0,0,True,
seru,Malaysia,extinct,0,5.0,0,True,
seward peninsula inupiaq,United States of America,critically endangered,2144,4.0,2144,True,
seward peninsula inupiaq,Russian Federation,extinct,0,5.0,0,True,
shabo,Ethiopia,severely endangered,450,3.0,450,True,
shanenawa,Brazil,vulnerable,300,1.0,300,True,
sharanahua,Peru,severely endangered,450,3.0,450,True,
shark bay,Vanuatu,vulnerable,200,1.0,200,True,
shatt,Sudan,severely endangered,15000,3.0,15000,True,
shawnee,United States of America,severely endangered,100,3.0,100,True,
she,China,critically endangered,1000,4.0,1000,True,
sherdukpen,India,vulnerable,3000,1.0,3000,True,
sherpa,"China, India, Nepal",vulnerable,143693,1.0,143693,True,
shingsaba,"China, Nepal",vulnerable,4000,1.0,4000,True,
shipiboconibo,Peru,definitely endangered,16085,2.0,16085,True,
shira yugur,China,severely endangered,3000,3.0,3000,True,
shiwiar,Ecuador,severely endangered,100,3.0,100,True,
shixing,China,definitely endangered,1800,2.0,1800,True,
shompen,India,critically endangered,100,4.0,100,True,
shor,Russian Federation,severely endangered,6210,3.0,6210,True,
shoshoni,United States of America,severely endangered,2000,3.0,2000,True,
shuar chicham,Ecuador,definitely endangered,35000,2.0,35000,True,
shughni,"Tajikistan, Afghanistan",vulnerable,95000,1.0,95000,True,
shumashti,Afghanistan,severely endangered,1000,3.0,1000,True,
shuswap,Canada,definitely endangered,570,2.0,570,True,
shwai,Sudan,critically endangered,3500,4.0,3500,True,
sia pedee,Ecuador,critically endangered,30,4.0,30,True,
sian,Malaysia,severely endangered,50,3.0,50,True,
sibe,China,severely endangered,27000,3.0,27000,True,
siberian tatar,Russian Federation,definitely endangered,1000,2.0,1000,True,
sicilian,Italy,vulnerable,5000000,1.0,5000000,True,
sierra otom,Mexico,vulnerable,43468,1.0,43468,True,
sierra popoluca,Mexico,vulnerable,28700,1.0,28700,True,
sierra totonac,Mexico,severely endangered,118367,3.0,118367,True,
sierra de puebla nhuatl,Mexico,definitely endangered,57189,2.0,57189,True,
sighu,Gabon,severely endangered,1000,3.0,1000,True,
siglitun,Canada,severely endangered,230,3.0,230,True,
sikuani,"Colombia, Venezuela (Bolivarian Republic of)",vulnerable,34614,1.0,34614,True,
sikiyana,Suriname,critically endangered,1000,4.0,1000,True,
sila,"Lao People's Democratic Republic, Viet Nam",definitely endangered,2600,2.0,2600,True,
simi,India,vulnerable,104000,1.0,104000,True,
singa,Uganda,extinct,0,5.0,0,True,
singpho,India,definitely endangered,5000,2.0,5000,True,
sinkiang dagur,China,definitely endangered,4000,2.0,4000,True,
siona  secoya,Peru,definitely endangered,450,2.0,450,True,
siona  secoya,Ecuador,severely endangered,600,3.0,600,True,
siona  secoya,Colombia,critically endangered,500,4.0,500,True,
sioux,United States of America,vulnerable,25000,1.0,25000,True,
