Name in English,Countries,Degree of endangerment,Number of speakers
Bade,Nigeria,Vulnerable,250000.0
Breton,France,Severely endangered,250000.0
Gascon,"Spain, France",Definitely endangered,250000.0
Phula (China),China,Vulnerable,250000.0
Sora,India,Vulnerable,250000.0
Konyak,India,Vulnerable,248000.0
Ao,India,Vulnerable,243000.0
Tuvan,"China, Mongolia, Russian Federation",Vulnerable,242754.0
Nafusi,Libyan Arab Jamahiriya,Severely endangered,240000.0
Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",Definitely endangered,240000.0
Malto,India,Definitely endangered,224926.0
Khowar,Pakistan,Vulnerable,222800.0
Maiya,Pakistan,Vulnerable,220000.0
Komi,Russian Federation,Definitely endangered,217316.0
Alpine Provençal,"France, Italy",Definitely endangered,200000.0
Gallo,France,Severely endangered,200000.0
Gera,Nigeria,Vulnerable,200000.0
Irula,India,Vulnerable,200000.0
Kharia,India,Vulnerable,200000.0
Khorasani Turk,Iran (Islamic Republic of),Vulnerable,200000.0
Korku,India,Vulnerable,200000.0
Moksha,Russian Federation,Definitely endangered,200000.0
Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic",Definitely endangered,200000.0
Western Cham,Cambodia,Vulnerable,200000.0
Tshangla,"Bhutan, China, India",Vulnerable,193000.0
Thado,India,Vulnerable,191000.0
Gagauz (Bessarabia),"Republic of Moldova, Ukraine",Definitely endangered,180000.0
Kului,India,Definitely endangered,170770.0
Adi,"China, India",Vulnerable,170000.0
Lhota,India,Vulnerable,170000.0
Nyishi,India,Vulnerable,170000.0
Ngäbere (Panama),Panama,Vulnerable,169130.0
Kodagu,India,Definitely endangered,166187.0
Corsican,"France, Italy",Definitely endangered,160000.0
Dzongkha,Bhutan,Vulnerable,160000.0
Kalmyk,Russian Federation,Definitely endangered,153602.0
Lak,Russian Federation,Vulnerable,153373.0
Asturian-Leonese,"Spain, Portugal",Definitely endangered,150000.0
Latgalian,"Latvia, Russian Federation",Vulnerable,150000.0
Provençal,France,Severely endangered,150000.0
Rabha,India,Vulnerable,150000.0
Tamzabit,Algeria,Vulnerable,150000.0
Sherpa,"China, India, Nepal",Vulnerable,143693.0
Tangkhul,India,Vulnerable,142000.0
Q'aanjob'al,Guatemala,Vulnerable,139830.0
Badaga,India,Definitely endangered,134514.0
Angami,India,Vulnerable,132000.0
Laz,"Georgia, Turkey",Definitely endangered,130000.0
Tabasaran,Russian Federation,Vulnerable,128391.0
Chambeali,India,Definitely endangered,126589.0
Abkhaz,"Georgia, Russian Federation, Turkey",Vulnerable,125000.0
Phom,India,Vulnerable,123000.0
Kolami,India,Definitely endangered,121855.0
Navajo,United States of America,Vulnerable,120000.0
Sassarese,Italy,Definitely endangered,120000.0
Tamahaq (Algeria),Algeria,Vulnerable,120000.0
Konda,India,Definitely endangered,118597.0
Sierra Totonac,Mexico,Severely endangered,118367.0
Jaunsari,India,Definitely endangered,114733.0
Dimasa,India,Vulnerable,112000.0
Ladakhi,"China, India",Vulnerable,105000.0
Salar,China,Vulnerable,104503.0
Simi,India,Vulnerable,104000.0
Phurhepecha,Mexico,Vulnerable,102988.0
Crimean Tatar (Crimea),Ukraine,Severely endangered,100000.0
