Name in English,Countries,Degree of endangerment,Number of speakers
Hulaula (Israel),Israel,Severely endangered,10000.0
Karang,Chad,Vulnerable,10000.0
Karelian (Tver),Russian Federation,Definitely endangered,10000.0
Karone,Senegal,Vulnerable,10000.0
Kryz,Azerbaijan,Severely endangered,10000.0
"Kurripako (Colombia, Venezuela)","Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,10000.0
Kurtöp,Bhutan,Vulnerable,10000.0
Lamgang,India,Critically endangered,10000.0
Miqie,China,Definitely endangered,10000.0
Mojo,Bolivia (Plurinational State of),Definitely endangered,10000.0
Muot,India,Critically endangered,10000.0
Naiki,India,Critically endangered,10000.0
Ñandeva Guarani,Brazil,Vulnerable,10000.0
Ngwaba,Nigeria,Severely endangered,10000.0
North Frisian,Germany,Severely endangered,10000.0
Northern Khanty,Russian Federation,Definitely endangered,10000.0
Nyah Kur,Thailand,Definitely endangered,10000.0
Nyenkha,Bhutan,Vulnerable,10000.0
Orang Hulu,Malaysia,Definitely endangered,10000.0
Otoro,Sudan,Severely endangered,10000.0
Solon,China,Definitely endangered,10000.0
Southern Tujia,China,Severely endangered,10000.0
Taba,Indonesia,Vulnerable,10000.0
Talu,China,Vulnerable,10000.0
Tamazight (Tunisia),Tunisia,Severely endangered,10000.0
Tayal,China,Vulnerable,10000.0
Temein,Sudan,Severely endangered,10000.0
Temiar,Malaysia,Definitely endangered,10000.0
Trukhmen,"Russian Federation, Turkmenistan",Definitely endangered,10000.0
Vidunda,United Republic of Tanzania,Vulnerable,10000.0
Kogui,Colombia,Vulnerable,9911.0
Paloor,Senegal,Vulnerable,9680.0
Awakatek (Guatemala),Guatemala,Vulnerable,9613.0
Choctaw (Louisiana),United States of America,Vulnerable,9500.0
Choctaw (Mississipi),United States of America,Vulnerable,9500.0
Choctaw (Oklahoma),United States of America,Vulnerable,9500.0
Gawar-Bati,"Pakistan, Afghanistan",Definitely endangered,9500.0
Taruang,"China, India, Myanmar",Vulnerable,9332.0
Khaling,Nepal,Definitely endangered,9288.0
Western Tarahumara,Mexico,Vulnerable,9196.0
Nunavimmiutitut,Canada,Vulnerable,9105.0
Woods Cree,Canada,Vulnerable,9095.0
Phula (Viet Nam),Viet Nam,Definitely endangered,9046.0
Dol-po,Nepal,Definitely endangered,9000.0
Helong,Indonesia,Severely endangered,9000.0
Lisela,Indonesia,Vulnerable,9000.0
Motuo Menba,"China, India",Definitely endangered,9000.0
Panamahka,Nicaragua,Vulnerable,9000.0
Zuni,United States of America,Vulnerable,9000.0
Mopán (Belize),Belize,Severely endangered,8980.0
Tulishi,Sudan,Severely endangered,8628.0
Central Cuicatec,Mexico,Vulnerable,8621.0
Ts'amay,Ethiopia,Definitely endangered,8621.0
Phalura,Pakistan,Definitely endangered,8600.0
Northern Popoloc,Mexico,Vulnerable,8597.0
Ixcatlán Mazatec,Mexico,Vulnerable,8593.0
Patla-Chicontla Totonac,Mexico,Severely endangered,8590.0
Toram,Chad,Severely endangered,8456.0
Northwestern Tlapanec,Mexico,Vulnerable,8409.0
Dene,Canada,Vulnerable,8195.0
Micmac (Massachusetts),United States of America,Definitely endangered,8145.0
Argobba,Ethiopia,Critically endangered,8000.0
Austral dialects,French Polynesia (France),Definitely endangered,8000.0
Belanda Bor,Sudan,Definitely endangered,8000.0
Feroge,Sudan,Vulnerable,8000.0
Hachijō,Japan,Definitely endangered,8000.0
Inga,Colombia,Severely endangered,8000.0
Kanga,Sudan,Severely endangered,8000.0
Lajia,China,Definitely endangered,8000.0
Lakha,Bhutan,Definitely endangered,8000.0
Mbya Guarani (Paraguay),Paraguay,Definitely endangered,8000.0
Mundurukú,Brazil,Vulnerable,8000.0
Ojibwe,United States of America,Severely endangered,8000.0
Quichua (Salasaca),Ecuador,Definitely endangered,8000.0
Rongpo,India,Vulnerable,8000.0
Sanyi,China,Severely endangered,8000.0
Temuan,Malaysia,Severely endangered,8000.0
Tingal,Sudan,Definitely endangered,8000.0
Wampis,Peru,Vulnerable,8000.0
Wunai Bunu,China,Definitely endangered,8000.0
Yanesha,Peru,Severely endangered,8000.0
Mam (Mexico),Mexico,Severely endangered,7977.0
Pana,Burkina Faso,Definitely endangered,7800.0
Macushi (Guyana),Guyana,Vulnerable,7750.0
Chukchi,Russian Federation,Severely endangered,7742.0
Cabécar,Costa Rica,Vulnerable,7622.0
Awa Cuaiquer,Colombia,Critically endangered,7500.0
Lishana Deni (Israel),Israel,Severely endangered,7500.0
Central Pame,Mexico,Vulnerable,7399.0
Puinave,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,7377.0
Mebengokre,Brazil,Vulnerable,7266.0
Tunebo,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,7231.0
Quechua of Peruvian Amazonia,Peru,Vulnerable,7200.0
Asur,India,Definitely endangered,7000.0
Bashkardi,Iran (Islamic Republic of),Definitely endangered,7000.0
Burji,Kenya,Vulnerable,7000.0
Choyi,China,Definitely endangered,7000.0
Gazi,Iran (Islamic Republic of),Definitely endangered,7000.0
Guichong,China,Vulnerable,7000.0
Karagash,Russian Federation,Definitely endangered,7000.0
Natanzi,Iran (Islamic Republic of),Severely endangered,7000.0
Nayini,Iran (Islamic Republic of),Severely endangered,7000.0
Parya,"Uzbekistan, Tajikistan, Afghanistan",Severely endangered,7000.0
Segeju,United Republic of Tanzania,Severely endangered,7000.0
Sivandi,Iran (Islamic Republic of),Definitely endangered,7000.0
Soi,Iran (Islamic Republic of),Definitely endangered,7000.0
Tucano (Brazil),Brazil,Vulnerable,7000.0
Wapishana (Guyana),Guyana,Vulnerable,7000.0
Yulu,"Central African Republic, Democratic Republic of the Congo, Sudan",Vulnerable,7000.0
Zhaba,China,Vulnerable,7000.0
Sakapultek,Guatemala,Definitely endangered,6973.0
Chara,Ethiopia,Vulnerable,6932.0
Kosraean,"Micronesia (Federated States of), Nauru",Severely endangered,6900.0
Waunana (Panama),Panama,Severely endangered,6882.0
San Francisco del Mar Huave,Mexico,Critically endangered,6874.0
Northern East Cree,Canada,Vulnerable,6870.0
Micmac (Canada),Canada,Vulnerable,6850.0
Northern Tepehuán,Mexico,Definitely endangered,6802.0
Miju,"China, India",Vulnerable,6700.0
Rio Grande Keresan,United States of America,Definitely endangered,6685.0
Western Mazatec,Mexico,Vulnerable,6639.0
Bussa,Ethiopia,Vulnerable,6624.0
Beli,Sudan,Definitely endangered,6600.0
Chesu,China,Definitely endangered,6600.0
Thuri,Sudan,Vulnerable,6600.0
Karata,Russian Federation,Definitely endangered,6574.0
Saulteau,Canada,Vulnerable,6558.0
Kumāle,Nepal,Severely endangered,6533.0
Lower Northwestern Otomí,Mexico,Vulnerable,6509.0
Dimme,Ethiopia,Vulnerable,6501.0
Chiquitano (Bolivia),Bolivia (Plurinational State of),Definitely endangered,6500.0
Tumtum,Sudan,Severely endangered,6500.0
Bezhta,Russian Federation,Definitely endangered,6461.0
Thakali,Nepal,Vulnerable,6441.0
Dongotono,Sudan,Vulnerable,6219.0
Mawé,Brazil,Vulnerable,6219.0
Shor,Russian Federation,Severely endangered,6210.0
Central Tlapanec,Mexico,Vulnerable,6191.0
Oji-Cree,Canada,Vulnerable,6110.0
Keiga,Sudan,Severely endangered,6072.0
Ampibabo Lauje,Indonesia,Vulnerable,6000.0
Cashinahua (Brazil),Brazil,Vulnerable,6000.0
Geji cluster,Nigeria,Severely endangered,6000.0
Mbya Guarani (Brazil),Brazil,Vulnerable,6000.0
Moklen,"Myanmar, Thailand",Definitely endangered,6000.0
Nauruan,Nauru,Severely endangered,6000.0
Nheengatu / Yeral (Brazil),Brazil,Severely endangered,6000.0
Parachi,Afghanistan,Definitely endangered,6000.0
Quechua of San Martín,Peru,Severely endangered,6000.0
Sawkna,Libyan Arab Jamahiriya,Critically endangered,6000.0
Sulung,"China, India",Definitely endangered,6000.0
Tindi,Russian Federation,Definitely endangered,6000.0
Western Apache,United States of America,Definitely endangered,6000.0
Yanomami (Brazil),Brazil,Vulnerable,6000.0
Yazgulami,Tajikistan,Severely endangered,6000.0
Chantyal,Nepal,Definitely endangered,5912.0
Mortlockese,Micronesia (Federated States of),Definitely endangered,5904.0
Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,5811.0
"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,5800.0
Akhvakh,Russian Federation,Definitely endangered,5793.0
Veps,Russian Federation,Severely endangered,5753.0
Qikiqtaaluk nigiani,Canada,Vulnerable,5740.0
Sipakapense,Guatemala,Definitely endangered,5687.0
Bribri (Costa Rica),Costa Rica,Vulnerable,5647.0
Bainouk-Gunyaamolo,Senegal,Vulnerable,5635.0
Kwatay,Senegal,Severely endangered,5625.0
Baheng (Viet Nam),Viet Nam,Vulnerable,5569.0
Central Zoque,Mexico,Definitely endangered,5500.0
Dameli,Pakistan,Severely endangered,5500.0
Sak (Bangladesh),Bangladesh,Severely endangered,5500.0
Yidgha,Pakistan,Definitely endangered,5500.0
Southeastern Tarahumara,Mexico,Vulnerable,5406.0
Chimané,Bolivia (Plurinational State of),Vulnerable,5300.0
Dilling,Sudan,Definitely endangered,5295.0
San Dionisio del Mar Huave,Mexico,Definitely endangered,5165.0
Lafofa,Sudan,Severely endangered,5140.0
Akeu,"Lao People's Democratic Republic, Myanmar, Thailand",Definitely endangered,5000.0
Anung (China),China,Critically endangered,5000.0
Bagvalal,Russian Federation,Definitely endangered,5000.0
Bambassi,Ethiopia,Definitely endangered,5000.0
Barí,Colombia,Vulnerable,5000.0
Bartangi,Tajikistan,Severely endangered,5000.0
Bokar,"China, India",Vulnerable,5000.0
Brokpa,Bhutan,Definitely endangered,5000.0
Creek,United States of America,Definitely endangered,5000.0
Cubeo (Colombia),Colombia,Vulnerable,5000.0
Dagur (Hailar),China,Definitely endangered,5000.0
Damal,Indonesia,Vulnerable,5000.0
Dhaiso,United Republic of Tanzania,Definitely endangered,5000.0
Gorum,India,Definitely endangered,5000.0
Guarayu,Bolivia (Plurinational State of),Definitely endangered,5000.0
Gutnish,Sweden,Definitely endangered,5000.0
Hopi,United States of America,Vulnerable,5000.0
Ilue,Nigeria,Critically endangered,5000.0
Jibbali,Oman,Severely endangered,5000.0
Kalasha,Pakistan,Severely endangered,5000.0
Kami,United Republic of Tanzania,Severely endangered,5000.0
Kathu,China,Definitely endangered,5000.0
Khojki,Oman,Severely endangered,5000.0
Khwe,Namibia,Definitely endangered,5000.0
Kom,India,Definitely endangered,5000.0
Korandje,Algeria,Severely endangered,5000.0
Lachi,Viet Nam,Definitely endangered,5000.0
Mak,China,Definitely endangered,5000.0
Manihiki,Cook Islands,Definitely endangered,5000.0
Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia",Severely endangered,5000.0
Miji,India,Definitely endangered,5000.0
Mo'ang (China),China,Definitely endangered,5000.0
Mo'ang (Viet Nam),Viet Nam,Definitely endangered,5000.0
Molise Croatian,Italy,Severely endangered,5000.0
Moroccan Judeo-Arabic (Morocco),Morocco,Severely endangered,5000.0
Namuyi,China,Vulnerable,5000.0
Padoe,Indonesia,Vulnerable,5000.0
Patamona (Guyana),Guyana,Vulnerable,5000.0
Pu,India,Critically endangered,5000.0
Pume,Venezuela (Bolivarian Republic of),Definitely endangered,5000.0
Singpho,India,Definitely endangered,5000.0
Turi,India,Definitely endangered,5000.0
Udi (Azerbaijan),Azerbaijan,Severely endangered,5000.0
Yecuana (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,5000.0
Jirel,Nepal,Definitely endangered,4919.0
Dolgan,Russian Federation,Definitely endangered,4865.0
Romani (Colombia),Colombia,Vulnerable,4858.0
Tsum,Nepal,Definitely endangered,4786.0
Northern Tlapanec,Mexico,Vulnerable,4771.0
Taroko,China,Vulnerable,4750.0
Kivallirmiutut,Canada,Vulnerable,4675.0
Puebla Mazatec,Mexico,Vulnerable,4660.0
Zapotec of Petapa,Mexico,Definitely endangered,4613.0
Dungmali,Nepal,Definitely endangered,4609.0
Saryg Yugur,China,Severely endangered,4600.0
Qikiqtaaluk uannangani,Canada,Vulnerable,4550.0
Afitti,Sudan,Severely endangered,4512.0
Nomatsiguenga,Peru,Severely endangered,4500.0
Piapoko,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,4500.0
Tokelauan,Tokelau,Severely endangered,4500.0
Wotu,Indonesia,Vulnerable,4500.0
Wambule,Nepal,Vulnerable,4471.0
Southern East Cree,Canada,Vulnerable,4455.0
Arbore,Ethiopia,Definitely endangered,4441.0
Ebang,Sudan,Severely endangered,4412.0
Tafi,Ghana,Vulnerable,4400.0
Puma,Nepal,Severely endangered,4310.0
Gyele,"Cameroon, Equatorial Guinea",Definitely endangered,4280.0
Bwisi,"Congo, Gabon",Definitely endangered,4248.0
Eastern Montagnais,Canada,Vulnerable,4180.0
Atikamekw,Canada,Vulnerable,4155.0
Western Zoque,Mexico,Vulnerable,4100.0
Acoma-Laguna,United States of America,Definitely endangered,4000.0
Aka,"India, Sudan",Definitely endangered,4000.0
Baga Manduri,Guinea,Definitely endangered,4000.0
Baga Sitemu,Guinea,Severely endangered,4000.0
Botlikh,Russian Federation,Definitely endangered,4000.0
Bunan,India,Definitely endangered,4000.0
Cashinahua (Peru),Peru,Definitely endangered,4000.0
Cha'palaa,Ecuador,Definitely endangered,4000.0
Evenki (Manchuria),China,Severely endangered,4000.0
Gazhuo,China,Definitely endangered,4000.0
Godoberi,Russian Federation,Definitely endangered,4000.0
"Kari'ña (Guyana, Suriname)","Guyana, Suriname",Severely endangered,4000.0
Lishan Didan (Israel),Israel,Severely endangered,4000.0
Maleng,Lao People's Democratic Republic,Definitely endangered,4000.0
Napu,Indonesia,Vulnerable,4000.0
Rahambuu,Indonesia,Vulnerable,4000.0
Shingsaba,"China, Nepal",Vulnerable,4000.0
Sinkiang Dagur,China,Definitely endangered,4000.0
Taa,Botswana,Definitely endangered,4000.0
Tennet,Sudan,Vulnerable,4000.0
Wapishana (Brazil),Brazil,Definitely endangered,4000.0
Yagua,Peru,Definitely endangered,4000.0
Yanomám,Brazil,Vulnerable,4000.0
Yanomami (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,4000.0
Younuo Bunu,China,Definitely endangered,4000.0
Zenaga (Mauritania),Mauritania,Severely endangered,4000.0
Baghati,India,Critically endangered,3976.0
Bharmauri,India,Definitely endangered,3976.0
Uspantek,Guatemala,Vulnerable,3971.0
Khang Quang Lam,Viet Nam,Severely endangered,3921.0
Konni,Ghana,Vulnerable,3800.0
Tocho,Sudan,Severely endangered,3800.0
Mixtec of the Puebla-Oaxaca border,Mexico,Definitely endangered,3791.0
Nupri,Nepal,Definitely endangered,3776.0
Ayoreo,Bolivia (Plurinational State of),Definitely endangered,3700.0
Moyon,India,Definitely endangered,3700.0
Utsat,China,Definitely endangered,3700.0
Nayi,Ethiopia,Vulnerable,3656.0
Mussau-Emira,Papua New Guinea,Definitely endangered,3651.0
Narim,Sudan,Definitely endangered,3623.0
Garífuna (Guatemala),Guatemala,Vulnerable,3564.0
Nachiring,Nepal,Severely endangered,3553.0
Eastern Popoloc,Mexico,Vulnerable,3544.0
Nding,Sudan,Critically endangered,3513.0
Anung (Myanmar),Myanmar,Severely endangered,3500.0
Camsá,Colombia,Definitely endangered,3500.0
Crow,United States of America,Definitely endangered,3500.0
Sak (Myanmar),Myanmar,Vulnerable,3500.0
Shwai,Sudan,Critically endangered,3500.0
Wano,Indonesia,Definitely endangered,3500.0
Northwestern Ojibwe,Canada,Vulnerable,3465.0
Bakpinka,Nigeria,Critically endangered,3416.0
Morokodo,Sudan,Severely endangered,3400.0
Eloxochitlán Mazatec,Mexico,Vulnerable,3384.0
Menik,Senegal,Definitely endangered,3375.0
Teribe (Panama),Panama,Definitely endangered,3305.0
Tima,Sudan,Severely endangered,3305.0
Mursi,Ethiopia,Vulnerable,3278.0
Pendau,Indonesia,Vulnerable,3200.0
Ayautla Mazatec,Mexico,Vulnerable,3192.0
Yucatec,Belize,Definitely endangered,3155.0
Sayultec,Mexico,Definitely endangered,3150.0
Eastern Tlapanec,Mexico,Vulnerable,3088.0
Juhur (Caucasus),"Azerbaijan, Russian Federation",Definitely endangered,3016.0
Awjila,Libyan Arab Jamahiriya,Severely endangered,3000.0
Baleasang,Indonesia,Definitely endangered,3000.0
Benga,"Gabon, Equatorial Guinea",Definitely endangered,3000.0
Besoa,Indonesia,Vulnerable,3000.0
Boni,Kenya,Definitely endangered,3000.0
Bonjo,Congo,Severely endangered,3000.0
Brokshat,India,Definitely endangered,3000.0
Budukh,Azerbaijan,Severely endangered,3000.0
Dahaalik,Eritrea,Critically endangered,3000.0
East Greenlandic,Greenland (Kingdom of Denmark),Definitely endangered,3000.0
Eastern Khanty,Russian Federation,Definitely endangered,3000.0
Fyem,Nigeria,Severely endangered,3000.0
Geta?,India,Severely endangered,3000.0
Gura,Nigeria,Severely endangered,3000.0
Harsusi,Oman,Definitely endangered,3000.0
Hozo,Ethiopia,Definitely endangered,3000.0
Jemez,United States of America,Vulnerable,3000.0
Kamara,Ghana,Definitely endangered,3000.0
Kapingamarangi,Micronesia (Federated States of),Severely endangered,3000.0
Koitabu,Papua New Guinea,Vulnerable,3000.0
Kuk,Cameroon,Definitely endangered,3000.0
Lai,China,Definitely endangered,3000.0
Limirong Tibetan,Nepal,Definitely endangered,3000.0
Lishanid Noshan (Israel),Israel,Severely endangered,3000.0
Lude,Russian Federation,Severely endangered,3000.0
"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay",Severely endangered,3000.0
"Mohawk (Akwesasne, St. Regis)",United States of America,Definitely endangered,3000.0
Nanay,"China, Russian Federation",Severely endangered,3000.0
Palu'e,Indonesia,Definitely endangered,3000.0
Panare,Venezuela (Bolivarian Republic of),Vulnerable,3000.0
Pilagá,Argentina,Vulnerable,3000.0
Pitjantjatjara,Australia,Vulnerable,3000.0
Pukur,Guinea,Definitely endangered,3000.0
Rotuman,Fiji,Vulnerable,3000.0
Savi,"Pakistan, Afghanistan",Definitely endangered,3000.0
Sherdukpen,India,Vulnerable,3000.0
Shira Yugur,China,Severely endangered,3000.0
Takahanyilang,India,Critically endangered,3000.0
U,China,Definitely endangered,3000.0
Ulithian,Micronesia (Federated States of),Severely endangered,3000.0
Waima'a,Timor-Leste,Definitely endangered,3000.0
Warlpiri,Australia,Vulnerable,3000.0
Yukpa,Venezuela (Bolivarian Republic of),Vulnerable,3000.0
Western Montagnais,Canada,Vulnerable,2980.0
Waiwai (Brazil),Brazil,Vulnerable,2916.0
Jersey French,United Kingdom of Great Britain and Northern Ireland,Severely endangered,2874.0
Bahing,Nepal,Definitely endangered,2765.0
Stoney,Canada,Vulnerable,2765.0
Southwestern Tepehuan,Mexico,Vulnerable,2756.0
Northern Mansi,Russian Federation,Severely endangered,2746.0
Bisu,"Myanmar, Thailand",Definitely endangered,2740.0
Wari,Brazil,Definitely endangered,2721.0
Pakan,China,Definitely endangered,2700.0
Yami,China,Vulnerable,2700.0
Ko,Sudan,Critically endangered,2683.0
Yuracaré,Bolivia (Plurinational State of),Definitely endangered,2675.0
Aimol,India,Critically endangered,2643.0
Kohi,Nepal,Vulnerable,2641.0
Chatino of the western lowlands,Mexico,Definitely endangered,2640.0
Bolo,Angola,Definitely endangered,2627.0
Logol,Sudan,Severely endangered,2600.0
Sila,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,2600.0
Pisaflores Tepehua,Mexico,Vulnerable,2578.0
Xerente,Brazil,Severely endangered,2569.0
Bribri (Panama),Panama,Severely endangered,2521.0
Achuar,"Ecuador, Peru",Definitely endangered,2500.0
Bai,Sudan,Definitely endangered,2500.0
Banka,Mali,Definitely endangered,2500.0
Culina (Peru),Peru,Definitely endangered,2500.0
Gadang,Chad,Definitely endangered,2500.0
Khinalug,Azerbaijan,Severely endangered,2500.0
Laomian (China),China,Definitely endangered,2500.0
Laomian (Myanmar),Myanmar,Definitely endangered,2500.0
Lhokpu,Bhutan,Definitely endangered,2500.0
Martuwangka,Australia,Vulnerable,2500.0
Mayoruna (Peru),Peru,Vulnerable,2500.0
Pingelapese,Micronesia (Federated States of),Severely endangered,2500.0
Rapanui,Chile,Severely endangered,2500.0
Remo,India,Severely endangered,2500.0
Roshorvi,Tajikistan,Severely endangered,2500.0
Sanglechi,"Tajikistan, Afghanistan",Severely endangered,2500.0
Semelai,Malaysia,Severely endangered,2500.0
Urak Lawoi (Malaysia),Malaysia,Definitely endangered,2500.0
Urak Lawoi (Thailand),Thailand,Definitely endangered,2500.0
Zirenkel,Chad,Definitely endangered,2500.0
Vumbu,Gabon,Definitely endangered,2460.0
Mopán (Guatemala),Guatemala,Severely endangered,2455.0
Cuiba,"Colombia, Venezuela (Bolivarian Republic of)",Severely endangered,2445.0
Raji,Nepal,Severely endangered,2413.0
Highland Chontal,Mexico,Severely endangered,2410.0
Yasa,"Cameroon, Equatorial Guinea",Definitely endangered,2401.0
Bumbita Arapesh,Papua New Guinea,Vulnerable,2353.0
Mang (China),China,Definitely endangered,2300.0
Mang (Viet Nam),Viet Nam,Definitely endangered,2300.0
Tlachichilco Tepehua,Mexico,Definitely endangered,2234.0
Blackfoot (Canada),Canada,Definitely endangered,2200.0
Jaya,Chad,Severely endangered,2200.0
Karipuna do Amapá,Brazil,Vulnerable,2200.0
Kulfa,Chad,Definitely endangered,2200.0
Krahô,Brazil,Vulnerable,2184.0
Kristang,Malaysia,Severely endangered,2150.0
Yine,Peru,Definitely endangered,2150.0
North Alaskan Inupiaq (Kotzebue Sound),United States of America,Severely endangered,2144.0
North Alaskan Inupiaq (North Slope),United States of America,Severely endangered,2144.0
Seward Peninsula Inupiaq (King Island),United States of America,Critically endangered,2144.0
Seward Peninsula Inupiaq (Little Diomede Island),United States of America,Critically endangered,2144.0
Seward Peninsula Inupiaq (Norton Sound),United States of America,Critically endangered,2144.0
Katukína-Kanamarí,Brazil,Vulnerable,2100.0
Tiwi,Australia,Vulnerable,2100.0
Zaozou,China,Vulnerable,2100.0
Ngäbere (Costa Rica),Costa Rica,Definitely endangered,2041.0
Aiton,India,Severely endangered,2000.0
Anindilyakwa,Australia,Vulnerable,2000.0
Apurinã,Brazil,Definitely endangered,2000.0
Arrernte,Australia,Vulnerable,2000.0
Ashkun,Afghanistan,Definitely endangered,2000.0
Ata,Philippines,Critically endangered,2000.0
Athpahariya,Nepal,Definitely endangered,2000.0
Ava-Guaraní,Argentina,Definitely endangered,2000.0
Bayso,Ethiopia,Definitely endangered,2000.0
Birhor,India,Critically endangered,2000.0
Boano,Indonesia,Vulnerable,2000.0
Bori,"China, India",Definitely endangered,2000.0
Chepya,Lao People's Democratic Republic,Definitely endangered,2000.0
Chilisso,Pakistan,Severely endangered,2000.0
Culina (Brazil),Brazil,Vulnerable,2000.0
Damana,Colombia,Definitely endangered,2000.0
Duguza,Nigeria,Definitely endangered,2000.0
Galibi Marworno,Brazil,Vulnerable,2000.0
Gats'ama - Ganjule - Harro,Ethiopia,Definitely endangered,2000.0
Gebe,Indonesia,Vulnerable,2000.0
Ghadames,Libyan Arab Jamahiriya,Vulnerable,2000.0
Griko (Calabria),Italy,Severely endangered,2000.0
Huilliche,Chile,Critically endangered,2000.0
Ik,Uganda,Severely endangered,2000.0
Jangshung,India,Definitely endangered,2000.0
Jero,Nepal,Vulnerable,2000.0
Kari'ña (French Guyana),French Guiana (France),Definitely endangered,2000.0
Khamnigan Mongol,"China, Mongolia, Russian Federation",Definitely endangered,2000.0
Kona,Nigeria,Severely endangered,2000.0
Koreguaje,Colombia,Definitely endangered,2000.0
Koryak,Russian Federation,Severely endangered,2000.0
Kota,India,Critically endangered,2000.0
Logorik,Sudan,Critically endangered,2000.0
Lule Saami,"Norway, Sweden",Severely endangered,2000.0
Luro,India,Critically endangered,2000.0
Mambai,Chad,Severely endangered,2000.0
Milang,India,Definitely endangered,2000.0
Mocoví,Argentina,Definitely endangered,2000.0
Momuna,Indonesia,Vulnerable,2000.0
Mpi,Thailand,Definitely endangered,2000.0
Muda,China,Vulnerable,2000.0
Munji,Afghanistan,Severely endangered,2000.0
Nguon,Viet Nam,Vulnerable,2000.0
Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),Severely endangered,2000.0
Nihali,India,Critically endangered,2000.0
Nyishangba,Nepal,Definitely endangered,2000.0
Ottawa (Walpole Island),"Canada, United States of America",Severely endangered,2000.0
Prasun,Afghanistan,Definitely endangered,2000.0
Rukai,China,Vulnerable,2000.0
Sáliba,"Colombia, Venezuela (Bolivarian Republic of)",Severely endangered,2000.0
Sangkong,China,Vulnerable,2000.0
Sarwa,Chad,Definitely endangered,2000.0
Shoshoni (Idaho),United States of America,Severely endangered,2000.0
Shoshoni (Nevada),United States of America,Severely endangered,2000.0
Shoshoni (Wyoming),United States of America,Severely endangered,2000.0
Tai Phake,India,Severely endangered,2000.0
Tamazight (Arzew),Algeria,Critically endangered,2000.0
Tanglang,China,Vulnerable,2000.0
Tchitchege,Gabon,Definitely endangered,2000.0
Tinan,"China, India",Definitely endangered,2000.0
Tsafiki,Ecuador,Definitely endangered,2000.0
Ukhwejo,Central African Republic,Severely endangered,2000.0
Urarina,Peru,Vulnerable,2000.0
Ushojo,Pakistan,Definitely endangered,2000.0
Waigali,Afghanistan,Definitely endangered,2000.0
Waotededo,Ecuador,Vulnerable,2000.0
Wotapuri-Katarqalai,Afghanistan,Definitely endangered,2000.0
Wutun,China,Definitely endangered,2000.0
Candoshi,Peru,Definitely endangered,1900.0
Hupda (Brazil),Brazil,Vulnerable,1900.0
Mixtec of the central Ravine,Mexico,Definitely endangered,1878.0
Kendeje,Chad,Definitely endangered,1859.0
Hunzib,Russian Federation,Definitely endangered,1839.0
Tchumbuli,Benin,Critically endangered,1838.0
Cashibo-Cacataibo,Peru,Definitely endangered,1800.0
Grass Koiari,Papua New Guinea,Vulnerable,1800.0
Isirawa,Indonesia,Vulnerable,1800.0
Lanoh,Malaysia,Critically endangered,1800.0
Lemolang,Indonesia,Vulnerable,1800.0
Nila (Seram Island),Indonesia,Definitely endangered,1800.0
Shixing,China,Definitely endangered,1800.0
Chuj (Mexico),Mexico,Critically endangered,1771.0
Darma,"India, Nepal",Definitely endangered,1761.0
Kung,Cameroon,Severely endangered,1750.0
Lokono (Guyana),"Guyana, Venezuela (Bolivarian Republic of)",Critically endangered,1750.0
Byangsi,"India, Nepal",Definitely endangered,1734.0
Pasing,Lao People's Democratic Republic,Definitely endangered,1732.0
Yamphu,Nepal,Definitely endangered,1722.0
Andio,Indonesia,Vulnerable,1700.0
Cheyenne (Montana),United States of America,Definitely endangered,1700.0
Kumzari,Oman,Severely endangered,1700.0
Quechua of Yauyos,Peru,Critically endangered,1700.0
Bainouk-Samik,Senegal,Severely endangered,1685.0
Côông,Viet Nam,Definitely endangered,1676.0
Dogrib,Canada,Vulnerable,1675.0
Upland Yuman,United States of America,Vulnerable,1650.0
Eastern Cuicatec,Mexico,Vulnerable,1641.0
Tamazight (Ait Rouadi),Morocco,Extinct,1637.0
Woleaian,Micronesia (Federated States of),Severely endangered,1631.0
Huehuetla Tepehua,Mexico,Definitely endangered,1603.0
Kadiwéu,Brazil,Definitely endangered,1600.0
Southern Tiwa (Isleta Pueblo),United States of America,Definitely endangered,1600.0
Southern Tiwa (Sandia Pueblo),United States of America,Definitely endangered,1600.0
Tewa (Arizona),United States of America,Definitely endangered,1600.0
Tewa (New Mexico),United States of America,Severely endangered,1600.0
ǁGana,Botswana,Vulnerable,1550.0
Akwáwa,Brazil,Vulnerable,1548.0
Northern Cuicatec,Mexico,Vulnerable,1503.0
Chiquihuitlán Mazatec,Mexico,Definitely endangered,1502.0
Apinajé,Brazil,Vulnerable,1500.0
